Brand,Model,Maximum PDR,Low Light ISO,Low Light EV,Read Noise ISO,Sensor Width,Sensor Height,Pixel Width,Pixel Height,Mount
Fujifilm,FinePix S5 Pro,8.49,465,7.22,,23.0,15.5,3024,2016,F DX
Olympus,E-5,7.56,569,7.51,,17.3,13.0,4096,3084,Four Thirds
Olympus,E-600,7.4,563,7.49,,17.3,13.0,4096,3084,Four Thirds
Olympus,E-30,7.48,562,7.49,,17.3,13.0,4100,3084,Four Thirds
Nikon,D2Hs,7.4,376,6.91,1600,23.2,15.4,2488,1648,F DX
Olympus,PEN E-P1,7.46,561,7.49,,17.3,13.0,4100,3084,Four Thirds
Olympus,PEN E-PL1,7.18,559,7.48,,17.3,13.0,4096,3084,Four Thirds
Olympus,PEN E-PL3,7.35,557,7.48,,17.3,13.0,4080,3040,Four Thirds
Olympus,E-620,7.4,556,7.47,,17.3,13.0,4100,3084,Four Thirds
Nikon,D100,7.47,427,7.09,1600,23.7,15.5,3029,1980,F DX
Olympus,PEN E-P3,7.23,545,7.45,,17.3,13.0,4080,3040,Four Thirds
Olympus,PEN E-P2,7.5,547,7.45,,17.3,13.0,4100,3084,Four Thirds
Nikon,1 J5,8.91,1039,8.38,6400,13.2,8.8,5584,3724,1
Olympus,PEN E-PM1,7.39,531,7.41,,17.3,13.0,4080,3040,Four Thirds
Panasonic,Lumix DMC-GF6,7.56,573,7.52,,17.3,13.0,4608,3464,Four Thirds
Samsung,GX-20,8.2,563,7.49,,23.0,16.0,4688,3124,K
Canon,EOS 10D,8.17,396,6.99,1600,22.7,15.1,3152,2068,EF
Nikon,D70,7.31,370,6.89,800,23.7,15.6,3040,2014,F DX
Nikon,D70s,7.31,364,6.87,800,23.7,15.6,3040,2014,F DX
Canon,EOS 300D,7.94,375,6.91,1600,22.7,15.1,3152,2068,EF-S
Sony,a330,8.4,418,7.06,,23.6,15.8,3880,2608,A
Sony,a380,8.65,472,7.24,,23.6,15.8,4600,3072,A
Nikon,D2H,7.01,284,6.51,1600,23.7,15.5,2496,1648,F DX
Nikon,D60,8.12,407,7.03,1600,23.6,15.8,3904,2616,F DX
Sony,a300,8.3,392,6.97,,24.0,16.0,3880,2608,A
Sony,a230,8.3,388,6.96,,23.6,15.8,3880,2608,A
Pentax,K10D,8.45,387,6.95,,24.0,16.0,3936,2624,K
Nikon,D40x,8.14,387,6.95,1600,23.6,15.8,3904,2616,F DX
Nikon,1 J4,8.15,726,7.86,6400,13.2,8.8,5248,3502,1
Pentax,K200D,8.26,372,6.9,,24.0,16.0,3896,2616,K
Sony,a200,8.21,363,6.86,,24.0,16.0,3880,2608,A
Samsung,NX11,7.78,421,7.07,,23.4,15.6,4592,3056,NX
Pentax,K20D,8.08,433,7.11,,23.0,16.0,4688,3124,K
